row fomarting,row fomarting,activity_order,include,activity,activity_pref_label,activity_description,activity_preamble,,,,,item,item_pref_label,item_description,item_order,duplicate,question,details,field_type,choices,visibility,"Common to MR spreadsheet 

yellow=Y=already included for MR & can be ignored in this document

green=P=areas of potential overlap",BIDS_status,BIDS_file,BIDS_key
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Detection/rejection/correction of artifacts,"Indicate if trials with artifacts were rejected or corrected. If using correction, indicate method(s) and parameters",,,"indicate_if_trials_with_artifacts_were_rejected_or_corrected._if_using_correction,_indicate_method(s)_and_parameters","indicate if trials with artifacts were rejected or corrected. if using correction, indicate method(s) and parameters","indicate if trials with artifacts were rejected or corrected. if using correction, indicate method(s) and parameters",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Detection/rejection/correction of artifacts,"If trials/segments of data with artifacts have been removed, indicate the average number of remaining trials per condition across participants (include minimum and maximum number of trials across participants)",,,"if_trials/segments_of_data_with_artifacts_have_been_removed,_indicate_the_average_number_of_remaining_trials_per_condition_across_participants_(include_minimum_and_maximum_number_of_trials_across_participants)","if trials/segments of data with artifacts have been removed, indicate the average number of remaining trials per condition across participants (include minimum and maximum number of trials across participants)","if trials/segments of data with artifacts have been removed, indicate the average number of remaining trials per condition across participants (include minimum and maximum number of trials across participants)",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Detection/rejection/correction of artifacts,"For resting state data, specify the length of time of the artifact-free data",,,"for_resting_state_data,_specify_the_length_of_time_of_the_artifact-free_data","for resting state data, specify the length of time of the artifact-free data","for resting state data, specify the length of time of the artifact-free data",,0,,,,,,,,,
TRUE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Correction of artifacts using BSS/ICA,Indicate how many total components were generated,,,indicate_how_many_total_components_were_generated,indicate how many total components were generated,indicate how many total components were generated,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Correction of artifacts using BSS/ICA,Indicate what type of artifact was identified,,,indicate_what_type_of_artifact_was_identified,indicate what type of artifact was identified,indicate what type of artifact was identified,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Correction of artifacts using BSS/ICA,Indicate how artifact was identified,,,indicate_how_artifact_was_identified,indicate how artifact was identified,indicate how artifact was identified,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Correction of artifacts using BSS/ICA,Indicate how many components were removed (on average across participants),,,indicate_how_many_components_were_removed_(on_average_across_participants),indicate how many components were removed (on average across participants),indicate how many components were removed (on average across participants),,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Correction of artifacts using BSS/ICA,Display example topographies of the ICs that were removed,,,display_example_topographies_of_the_ics_that_were_removed,display example topographies of the ics that were removed,display example topographies of the ics that were removed,,0,,,,,,,,,
TRUE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Filtering,Indicate type of filtering,,,indicate_type_of_filtering,indicate type of filtering,indicate type of filtering,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Filtering,Indicate filter parameters,frequency cut-off,,frequency_cut-off,frequency cut-off,frequency cut-off,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Filtering,Indicate filter parameters,roll-off rate/slope,,roll-off_rate/slope,roll-off rate/slope,roll-off rate/slope,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Filtering,Indicate filter parameters,others,,others,others,others,,0,,,,,,,,,
TRUE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Re-referencing (for EEG),Report the digital reference and how this was computed,,,report_the_digital_reference_and_how_this_was_computed,report the digital reference and how this was computed,report the digital reference and how this was computed,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Re-referencing (for EEG),Justify choice of the re-reference scheme,,,justify_choice_of_the_re-reference_scheme,justify choice of the re-reference scheme,justify choice of the re-reference scheme,,0,,,,,,,,,
TRUE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Source modelling,Method of co-registration of measurement sensors to structural MRI scan of the participant’s head or MRI template (for EEG in particular),,,method_of_co-registration_of_measurement_sensors_to_structural_mri_scan_of_the_participant’s_head_or_mri_template_(for_eeg_in_particular),method of co-registration of measurement sensors to structural mri scan of the participant’s head or mri template (for eeg in particular),method of co-registration of measurement sensors to structural mri scan of the participant’s head or mri template (for eeg in particular),,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Source modelling,"Volume conductor model (e.g., BEM/FEM)",,,"volume_conductor_model_(e.g.,_bem/fem)","volume conductor model (e.g., bem/fem)","volume conductor model (e.g., bem/fem)",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Source modelling,Tissue conductivity values (for EEG),,,tissue_conductivity_values_(for_eeg),tissue conductivity values (for eeg),tissue conductivity values (for eeg),,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Source modelling,"Source model details (e.g., dipole, distributed,dipole scanning)",,,"source_model_details_(e.g.,_dipole,_distributed,dipole_scanning)","source model details (e.g., dipole, distributed,dipole scanning)","source model details (e.g., dipole, distributed,dipole scanning)",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Source modelling,"Report parameters used for source estimation (i.e., regularization of the data covariance matrix; constraints used for source model)",,,"report_parameters_used_for_source_estimation_(i.e.,_regularization_of_the_data_covariance_matrix;_constraints_used_for_source_model)","report parameters used for source estimation (i.e., regularization of the data covariance matrix; constraints used for source model)","report parameters used for source estimation (i.e., regularization of the data covariance matrix; constraints used for source model)",,0,,,,,,,,,
TRUE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Connectivity,Sensor or source space?,,,sensor_or_source_space?,sensor or source space?,sensor or source space?,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Connectivity,"Detail exact variables that have been analysed (which of the data was partialised, marginalised, or conditioned)",,,"detail_exact_variables_that_have_been_analysed_(which_of_the_data_was_partialised,_marginalised,_or_conditioned)","detail exact variables that have been analysed (which of the data was partialised, marginalised, or conditioned)","detail exact variables that have been analysed (which of the data was partialised, marginalised, or conditioned)",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Connectivity,"For model based approach, indicate model parameters",,,"for_model_based_approach,_indicate_model_parameters","for model based approach, indicate model parameters","for model based approach, indicate model parameters",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Connectivity,Specify metrics of coupling,,,specify_metrics_of_coupling,specify metrics of coupling,specify metrics of coupling,,0,,,,,,,,,
FALSE,FALSE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,ROIs,"How were these were determined, i.e. what was the mode of selection (e.g., a priori from literature or independent data)?",,,"how_were_these_were_determined,_i.e._what_was_the_mode_of_selection_(e.g.,_a_priori_from_literature_or_independent_data)?","how were these were determined, i.e. what was the mode of selection (e.g., a priori from literature or independent data)?","how were these were determined, i.e. what was the mode of selection (e.g., a priori from literature or independent data)?",,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,ROIs,"Report specific sensors/regions of interest, peaks, components, time and/or frequency window, source",,,"report_specific_sensors/regions_of_interest,_peaks,_components,_time_and/or_frequency_window,_source","report specific sensors/regions of interest, peaks, components, time and/or frequency window, source","report specific sensors/regions of interest, peaks, components, time and/or frequency window, source",,0,,,,,,,,,
TRUE,FALSE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Summary measures,Report how these were obtained,,,report_how_these_were_obtained,report how these were obtained,report how these were obtained,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Summary measures,Justify how the selection of dependent variables is unbiased (especially how the temporal and spatial ROIs were chosen),,,justify_how_the_selection_of_dependent_variables_is_unbiased_(especially_how_the_temporal_and_spatial_rois_were_chosen),justify how the selection of dependent variables is unbiased (especially how the temporal and spatial rois were chosen),justify how the selection of dependent variables is unbiased (especially how the temporal and spatial rois were chosen),,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Summary measures,"Specify how peaks, components, latencies were measured",,,"specify_how_peaks,_components,_latencies_were_measured","specify how peaks, components, latencies were measured","specify how peaks, components, latencies were measured",,0,,,,,,,,,
TRUE,FALSE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,"Software and version used, and analysis platform",,,"software_and_version_used,_and_analysis_platform","software and version used, and analysis platform","software and version used, and analysis platform",,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,Report model used including all regressors (and covariates of no interest),,,report_model_used_including_all_regressors_(and_covariates_of_no_interest),report model used including all regressors (and covariates of no interest),report model used including all regressors (and covariates of no interest),,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,"Check and report statistical assumptions (e.g., normality, sphericity)",,,"check_and_report_statistical_assumptions_(e.g.,_normality,_sphericity)","check and report statistical assumptions (e.g., normality, sphericity)","check and report statistical assumptions (e.g., normality, sphericity)",,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,Provide model details when complex designed are used,,,provide_model_details_when_complex_designed_are_used,provide model details when complex designed are used,provide model details when complex designed are used,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,Provide details on classification method and validation procedure,,,provide_details_on_classification_method_and_validation_procedure,provide details on classification method and validation procedure,provide details on classification method and validation procedure,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,Note method used for multiple comparisons correction and chosen level of statistical significance,,,note_method_used_for_multiple_comparisons_correction_and_chosen_level_of_statistical_significance,note method used for multiple comparisons correction and chosen level of statistical significance,note method used for multiple comparisons correction and chosen level of statistical significance,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,"Report classifier used, the distance metric used and the parameters",,,"report_classifier_used,_the_distance_metric_used_and_the_parameters","report classifier used, the distance metric used and the parameters","report classifier used, the distance metric used and the parameters",,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,How was chance level determined,,,how_was_chance_level_determined,how was chance level determined,how was chance level determined,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Statistical analysis/modeling,Detail cross-validation scheme,,,detail_cross-validation_scheme,detail cross-validation scheme,detail cross-validation scheme,,0,,,,,,,,,
TRUE,FALSE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Source modeling,"Indicate quality of the model (goodness of fit, percentage of variance explained, residual mean squares)",,,"indicate_quality_of_the_model_(goodness_of_fit,_percentage_of_variance_explained,_residual_mean_squares)","indicate quality of the model (goodness of fit, percentage of variance explained, residual mean squares)","indicate quality of the model (goodness of fit, percentage of variance explained, residual mean squares)",,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Source modeling,Report spatial uncertainty for dipolar sources,,,report_spatial_uncertainty_for_dipolar_sources,report spatial uncertainty for dipolar sources,report spatial uncertainty for dipolar sources,,0,,,,,,,,,
TRUE,FALSE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Connectivity,Sensor or source space,,,sensor_or_source_space,sensor or source space,sensor or source space,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Connectivity,"Software and version, and analysis platform",,,"software_and_version,_and_analysis_platform","software and version, and analysis platform","software and version, and analysis platform",,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Connectivity,"Domain, type of connectivity and measure(s) used",,,"domain,_type_of_connectivity_and_measure(s)_used","domain, type of connectivity and measure(s) used","domain, type of connectivity and measure(s) used",,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,Connectivity,Definitions of nodes/regions of interest,,,definitions_of_nodes/regions_of_interest,definitions of nodes/regions of interest,definitions of nodes/regions of interest,,0,,,,,,,,,
TRUE,FALSE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,DCM,Specify type of neuronal model,,,specify_type_of_neuronal_model,specify type of neuronal model,specify type of neuronal model,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,DCM,Ensure fit of model to data before comparing different models,,,ensure_fit_of_model_to_data_before_comparing_different_models,ensure fit of model to data before comparing different models,ensure fit of model to data before comparing different models,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,DCM,"Describe modulatory effects, confounds and mitigating procedures",,,"describe_modulatory_effects,_confounds_and_mitigating_procedures","describe modulatory effects, confounds and mitigating procedures","describe modulatory effects, confounds and mitigating procedures",,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,DCM,Define all connectivity architectures tested and connectivity matrices present and modulated,,,define_all_connectivity_architectures_tested_and_connectivity_matrices_present_and_modulated,define all connectivity architectures tested and connectivity matrices present and modulated,define all connectivity architectures tested and connectivity matrices present and modulated,,0,,,,,,,,,
TRUE,TRUE,4,1,statistical_analysis,Statistical analysis,Statistical analysis,,DCM,Describe statistics used for model/family inference (Random vs. Fixed effects) and parameter inference (Frequentist vs. Bayesian),,,describe_statistics_used_for_model/family_inference_(random_vs._fixed_effects)_and_parameter_inference_(frequentist_vs._bayesian),describe statistics used for model/family inference (random vs. fixed effects) and parameter inference (frequentist vs. bayesian),describe statistics used for model/family inference (random vs. fixed effects) and parameter inference (frequentist vs. bayesian),,0,,,,,,,,,
FALSE,FALSE,5,1,reporting,Reporting,Reporting,,Nomenclature,Use IFCN-sanctioned nomenclature?,,,use_ifcn-sanctioned_nomenclature?,use ifcn-sanctioned nomenclature?,use ifcn-sanctioned nomenclature?,,0,,,,,,,,,
TRUE,FALSE,5,1,reporting,Reporting,Reporting,,Time and frequency windows,Note time windows (if applicable),**Note basis for selection,,**note_basis_for_selection,**note basis for selection,**note basis for selection,,1,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Time and frequency windows,Note frequency windows (if applicable),**Note basis for selection,,**note_basis_for_selection,**note basis for selection,**note basis for selection,,1,,,,,,,,,
TRUE,FALSE,5,1,reporting,Reporting,Reporting,,Statistical results,Report statistical values of analyses performed,Minima/maxima of R-squared,,minima/maxima_of_r-squared,minima/maxima of r-squared,minima/maxima of r-squared,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Statistical results,Report statistical values of analyses performed,Minima/maxima of z/t/F values,,minima/maxima_of_z/t/f_values,minima/maxima of z/t/f values,minima/maxima of z/t/f values,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Statistical results,Report statistical values of analyses performed,**Other? This seems too broad a category to strictly narrow down.,,**other?_this_seems_too_broad_a_category_to_strictly_narrow_down.,**other? this seems too broad a category to strictly narrow down.,**other? this seems too broad a category to strictly narrow down.,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Statistical results,Report raw effects of interest,,,report_raw_effects_of_interest,report raw effects of interest,report raw effects of interest,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Statistical results,Report standardized effect sizes,,,report_standardized_effect_sizes,report standardized effect sizes,report standardized effect sizes,,0,,,,,,,,,
TRUE,FALSE,5,1,reporting,Reporting,Reporting,,Figures,Waveforms or spectra of each condition (& any differences of interest),Indicate clearly whether individual or group data,,indicate_clearly_whether_individual_or_group_data,indicate clearly whether individual or group data,indicate clearly whether individual or group data,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Figures,Display measures of error for waveforms (confidence intervals/standard devation),,,display_measures_of_error_for_waveforms_(confidence_intervals/standard_devation),display measures of error for waveforms (confidence intervals/standard devation),display measures of error for waveforms (confidence intervals/standard devation),,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Figures,Topographic representations of waveforms/spectra,,,topographic_representations_of_waveforms/spectra,topographic representations of waveforms/spectra,topographic representations of waveforms/spectra,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Figures,Figures properly formatted/labelled?,All axes labelled?,,all_axes_labelled?,all axes labelled?,all axes labelled?,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Figures,Figures properly formatted/labelled?,Units reported?,,units_reported?,units reported?,units reported?,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Figures,Figures properly formatted/labelled?,Calibration bars displayed with units?,,calibration_bars_displayed_with_units?,calibration bars displayed with units?,calibration bars displayed with units?,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Figures,"Mass-univariate and multivariate
analysis should show the full space of
statistical results along with significant
results",,,"mass-univariate_and_multivariate
analysis_should_show_the_full_space_of
statistical_results_along_with_significant
results","mass-univariate and multivariate
analysis should show the full space of
statistical results along with significant
results","mass-univariate and multivariate
analysis should show the full space of
statistical results along with significant
results",,0,,,,,,,,,
TRUE,FALSE,5,1,reporting,Reporting,Reporting,,Spatial analyses,Show all source results,Time courses,,time_courses,time courses,time courses,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Spatial analyses,Show all source results,Full non-thresholded maps (distributed models only),,full_non-thresholded_maps_(distributed_models_only),full non-thresholded maps (distributed models only),full non-thresholded maps (distributed models only),,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Spatial analyses,Topography,"Include information
related to the spatial layout of sensors",,"include_information
related_to_the_spatial_layout_of_sensors","include information
related to the spatial layout of sensors","include information
related to the spatial layout of sensors",,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Spatial analyses,Tables,Contrast/effect tested,,contrast/effect_tested,contrast/effect tested,contrast/effect tested,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Spatial analyses,Tables,Anatomical regions,,anatomical_regions,anatomical regions,anatomical regions,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Spatial analyses,Tables,"x, y, z coordinates",,"x,_y,_z_coordinates","x, y, z coordinates","x, y, z coordinates",,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Spatial analyses,Tables,t/z/F statistic,,t/z/f_statistic,t/z/f statistic,t/z/f statistic,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Spatial analyses,Tables,p-value/Bayes factor,,p-value/bayes_factor,p-value/bayes factor,p-value/bayes factor,,0,,,,,,,,,
TRUE,FALSE,5,1,reporting,Reporting,Reporting,,Connectivity analyses,Report type of data reduction and/or space selection performed,,,report_type_of_data_reduction_and/or_space_selection_performed,report type of data reduction and/or space selection performed,report type of data reduction and/or space selection performed,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Connectivity analyses,Report all metrics tested and associated values,,,report_all_metrics_tested_and_associated_values,report all metrics tested and associated values,report all metrics tested and associated values,,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Connectivity analyses,"If using a null model for statistical
comparison, report how this was
generated",,,"if_using_a_null_model_for_statistical
comparison,_report_how_this_was
generated","if using a null model for statistical
comparison, report how this was
generated","if using a null model for statistical
comparison, report how this was
generated",,0,,,,,,,,,
TRUE,TRUE,5,1,reporting,Reporting,Reporting,,Connectivity analyses,"For DCM, report the distribution of
probability (expected or/and
exceedance) over models considered
and the statistics on the connectivity
parameters",,,"for_dcm,_report_the_distribution_of
probability_(expected_or/and
exceedance)_over_models_considered
and_the_statistics_on_the_connectivity
parameters","for dcm, report the distribution of
probability (expected or/and
exceedance) over models considered
and the statistics on the connectivity
parameters","for dcm, report the distribution of
probability (expected or/and
exceedance) over models considered
and the statistics on the connectivity
parameters",,0,,,,,,,,,
FALSE,FALSE,6,1,suggestions_from_main_text_of_meeg_cobidas,Suggestions from main text of MEEG Cobidas,Suggestions from main text of MEEG Cobidas,,Additional suggestions from text,Recording site of EEG results in sensor space,,,recording_site_of_eeg_results_in_sensor_space,recording site of eeg results in sensor space,recording site of eeg results in sensor space,,0,,,,,,,,,
