Apdx,Table,A1,A2,A3,A4,Ref1(formula),D,Ref2(formula),Reference,ActivityName,aspect_1,aspect_2,aspect_3,aspect_4,item_name,question,details,format,choice_levels,visibility,Common to MR spreadsheet (yellow=Y=already included for MR & can be ignored in this document; green=P=areas of potential overlap),BIDS_status,BIDS_source,BIDS_source_field
MEEG.,03,04,03,00,00,MEEG.03.04.03.00.00,01,MEEG.03.04.03.00.00.01,MEEG.03.04.03.00.00.01,Table 3: Data pre-processing and processing,Detection/rejection/correction of artifacts,"For manual detection, indicate the criteria used with as much detail as needed for reproducibility",,,,,,,,,,,,
MEEG.,03,04,04,00,00,MEEG.03.04.04.00.00,01,MEEG.03.04.04.00.00.01,MEEG.03.04.04.00.00.01,Table 3: Data pre-processing and processing,Detection/rejection/correction of artifacts,"Indicate if trials with artifacts were rejected or corrected. If using correction, indicate method(s) and parameters",,,,,,,,,,,,
MEEG.,03,04,05,00,00,MEEG.03.04.05.00.00,01,MEEG.03.04.05.00.00.01,MEEG.03.04.05.00.00.01,Table 3: Data pre-processing and processing,Detection/rejection/correction of artifacts,"If trials/segments of data with artifacts have been removed, indicate the average number of remaining trials per condition across participants (include minimum and maximum number of trials across participants)",,,,,,,,,,,,
MEEG.,03,04,06,00,00,MEEG.03.04.06.00.00,01,MEEG.03.04.06.00.00.01,MEEG.03.04.06.00.00.01,Table 3: Data pre-processing and processing,Detection/rejection/correction of artifacts,"For resting state data, specify the length of time of the artifact-free data",,,,,,,,,,,,
MEEG.,03,05,01,00,00,MEEG.03.05.01.00.00,01,MEEG.03.05.01.00.00.01,MEEG.03.05.01.00.00.01,Table 3: Data pre-processing and processing,Correction of artifacts using BSS/ICA,Indicate how many total components were generated,,,,,,,,,,,,
MEEG.,03,05,02,00,00,MEEG.03.05.02.00.00,01,MEEG.03.05.02.00.00.01,MEEG.03.05.02.00.00.01,Table 3: Data pre-processing and processing,Correction of artifacts using BSS/ICA,Indicate what type of artifact was identified,,,,,,,,,,,,
MEEG.,03,05,03,00,00,MEEG.03.05.03.00.00,01,MEEG.03.05.03.00.00.01,MEEG.03.05.03.00.00.01,Table 3: Data pre-processing and processing,Correction of artifacts using BSS/ICA,Indicate how artifact was identified,,,,,,,,,,,,
MEEG.,03,05,04,00,00,MEEG.03.05.04.00.00,01,MEEG.03.05.04.00.00.01,MEEG.03.05.04.00.00.01,Table 3: Data pre-processing and processing,Correction of artifacts using BSS/ICA,Indicate how many components were removed (on average across participants),,,,,,,,,,,,
MEEG.,03,05,05,00,00,MEEG.03.05.05.00.00,01,MEEG.03.05.05.00.00.01,MEEG.03.05.05.00.00.01,Table 3: Data pre-processing and processing,Correction of artifacts using BSS/ICA,Display example topographies of the ICs that were removed,,,,,,,,,,,,
MEEG.,03,06,01,00,00,MEEG.03.06.01.00.00,01,MEEG.03.06.01.00.00.01,MEEG.03.06.01.00.00.01,Table 3: Data pre-processing and processing,Filtering,Indicate type of filtering,,,,,,,,,,,,
MEEG.,03,06,02,01,00,MEEG.03.06.02.01.00,01,MEEG.03.06.02.01.00.01,MEEG.03.06.02.01.00.01,Table 3: Data pre-processing and processing,Filtering,Indicate filter parameters,frequency cut-off,,,,,,,,,,,
MEEG.,03,06,02,02,00,MEEG.03.06.02.02.00,01,MEEG.03.06.02.02.00.01,MEEG.03.06.02.02.00.01,Table 3: Data pre-processing and processing,Filtering,Indicate filter parameters,roll-off rate/slope,,,,,,,,,,,
MEEG.,03,06,02,03,00,MEEG.03.06.02.03.00,01,MEEG.03.06.02.03.00.01,MEEG.03.06.02.03.00.01,Table 3: Data pre-processing and processing,Filtering,Indicate filter parameters,others,,,,,,,,,,,
MEEG.,03,07,01,00,00,MEEG.03.07.01.00.00,01,MEEG.03.07.01.00.00.01,MEEG.03.07.01.00.00.01,Table 3: Data pre-processing and processing,Re-referencing (for EEG),Report the digital reference and how this was computed,,,,,,,,,,,,
MEEG.,03,07,02,00,00,MEEG.03.07.02.00.00,01,MEEG.03.07.02.00.00.01,MEEG.03.07.02.00.00.01,Table 3: Data pre-processing and processing,Re-referencing (for EEG),Justify choice of the re-reference scheme,,,,,,,,,,,,
MEEG.,03,08,01,00,00,MEEG.03.08.01.00.00,01,MEEG.03.08.01.00.00.01,MEEG.03.08.01.00.00.01,Table 3: Data pre-processing and processing,Source modelling,Method of co-registration of measurement sensors to structural MRI scan of the participant’s head or MRI template (for EEG in particular),,,,,,,,,,,,
MEEG.,03,08,02,00,00,MEEG.03.08.02.00.00,01,MEEG.03.08.02.00.00.01,MEEG.03.08.02.00.00.01,Table 3: Data pre-processing and processing,Source modelling,"Volume conductor model (e.g., BEM/FEM)",,,,,,,,,,,,
MEEG.,03,08,03,00,00,MEEG.03.08.03.00.00,01,MEEG.03.08.03.00.00.01,MEEG.03.08.03.00.00.01,Table 3: Data pre-processing and processing,Source modelling,Tissue conductivity values (for EEG),,,,,,,,,,,,
MEEG.,03,08,04,00,00,MEEG.03.08.04.00.00,01,MEEG.03.08.04.00.00.01,MEEG.03.08.04.00.00.01,Table 3: Data pre-processing and processing,Source modelling,"Source model details (e.g., dipole, distributed,dipole scanning)",,,,,,,,,,,,
MEEG.,03,08,05,00,00,MEEG.03.08.05.00.00,01,MEEG.03.08.05.00.00.01,MEEG.03.08.05.00.00.01,Table 3: Data pre-processing and processing,Source modelling,"Report parameters used for source estimation (i.e., regularization of the data covariance matrix; constraints used for source model)",,,,,,,,,,,,
MEEG.,03,09,01,00,00,MEEG.03.09.01.00.00,01,MEEG.03.09.01.00.00.01,MEEG.03.09.01.00.00.01,Table 3: Data pre-processing and processing,Connectivity,Sensor or source space?,,,,,,,,,,,,
MEEG.,03,09,02,00,00,MEEG.03.09.02.00.00,01,MEEG.03.09.02.00.00.01,MEEG.03.09.02.00.00.01,Table 3: Data pre-processing and processing,Connectivity,"Detail exact variables that have been analysed (which of the data was partialised, marginalised, or conditioned)",,,,,,,,,,,,
MEEG.,03,09,03,00,00,MEEG.03.09.03.00.00,01,MEEG.03.09.03.00.00.01,MEEG.03.09.03.00.00.01,Table 3: Data pre-processing and processing,Connectivity,"For model based approach, indicate model parameters",,,,,,,,,,,,
MEEG.,03,09,04,00,00,MEEG.03.09.04.00.00,01,MEEG.03.09.04.00.00.01,MEEG.03.09.04.00.00.01,Table 3: Data pre-processing and processing,Connectivity,Specify metrics of coupling,,,,,,,,,,,,
MEEG.,04,01,01,00,00,MEEG.04.01.01.00.00,01,MEEG.04.01.01.00.00.01,MEEG.04.01.01.00.00.01,Table 4: Statistical analysis,ROIs,"How were these were determined, i.e. what was the mode of selection (e.g., a priori from literature or independent data)?",,,,,,,,,,,,
MEEG.,04,01,02,00,00,MEEG.04.01.02.00.00,01,MEEG.04.01.02.00.00.01,MEEG.04.01.02.00.00.01,Table 4: Statistical analysis,ROIs,"Report specific sensors/regions of interest, peaks, components, time and/or frequency window, source",,,,,,,,,,,,
MEEG.,04,02,01,00,00,MEEG.04.02.01.00.00,01,MEEG.04.02.01.00.00.01,MEEG.04.02.01.00.00.01,Table 4: Statistical analysis,Summary measures,Report how these were obtained,,,,,,,,,,,,
MEEG.,04,02,02,00,00,MEEG.04.02.02.00.00,01,MEEG.04.02.02.00.00.01,MEEG.04.02.02.00.00.01,Table 4: Statistical analysis,Summary measures,Justify how the selection of dependent variables is unbiased (especially how the temporal and spatial ROIs were chosen),,,,,,,,,,,,
MEEG.,04,02,03,00,00,MEEG.04.02.03.00.00,01,MEEG.04.02.03.00.00.01,MEEG.04.02.03.00.00.01,Table 4: Statistical analysis,Summary measures,"Specify how peaks, components, latencies were measured",,,,,,,,,,,,
MEEG.,04,03,01,00,00,MEEG.04.03.01.00.00,01,MEEG.04.03.01.00.00.01,MEEG.04.03.01.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,"Software and version used, and analysis platform",,,,,,,,,,,,
MEEG.,04,03,02,00,00,MEEG.04.03.02.00.00,01,MEEG.04.03.02.00.00.01,MEEG.04.03.02.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,Report model used including all regressors (and covariates of no interest),,,,,,,,,,,,
MEEG.,04,03,03,00,00,MEEG.04.03.03.00.00,01,MEEG.04.03.03.00.00.01,MEEG.04.03.03.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,"Check and report statistical assumptions (e.g., normality, sphericity)",,,,,,,,,,,,
MEEG.,04,03,04,00,00,MEEG.04.03.04.00.00,01,MEEG.04.03.04.00.00.01,MEEG.04.03.04.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,Provide model details when complex designed are used,,,,,,,,,,,,
MEEG.,04,03,05,00,00,MEEG.04.03.05.00.00,01,MEEG.04.03.05.00.00.01,MEEG.04.03.05.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,Provide details on classification method and validation procedure,,,,,,,,,,,,
MEEG.,04,03,06,00,00,MEEG.04.03.06.00.00,01,MEEG.04.03.06.00.00.01,MEEG.04.03.06.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,Note method used for multiple comparisons correction and chosen level of statistical significance,,,,,,,,,,,,
MEEG.,04,03,07,00,00,MEEG.04.03.07.00.00,01,MEEG.04.03.07.00.00.01,MEEG.04.03.07.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,"Report classifier used, the distance metric used and the parameters",,,,,,,,,,,,
MEEG.,04,03,08,00,00,MEEG.04.03.08.00.00,01,MEEG.04.03.08.00.00.01,MEEG.04.03.08.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,How was chance level determined,,,,,,,,,,,,
MEEG.,04,03,09,00,00,MEEG.04.03.09.00.00,01,MEEG.04.03.09.00.00.01,MEEG.04.03.09.00.00.01,Table 4: Statistical analysis,Statistical analysis/modeling,Detail cross-validation scheme,,,,,,,,,,,,
MEEG.,04,04,01,00,00,MEEG.04.04.01.00.00,01,MEEG.04.04.01.00.00.01,MEEG.04.04.01.00.00.01,Table 4: Statistical analysis,Source modeling,"Indicate quality of the model (goodness of fit, percentage of variance explained, residual mean squares)",,,,,,,,,,,,
MEEG.,04,04,02,00,00,MEEG.04.04.02.00.00,01,MEEG.04.04.02.00.00.01,MEEG.04.04.02.00.00.01,Table 4: Statistical analysis,Source modeling,Report spatial uncertainty for dipolar sources,,,,,,,,,,,,
MEEG.,04,05,01,00,00,MEEG.04.05.01.00.00,01,MEEG.04.05.01.00.00.01,MEEG.04.05.01.00.00.01,Table 4: Statistical analysis,Connectivity,Sensor or source space,,,,,,,,,,,,
MEEG.,04,05,02,00,00,MEEG.04.05.02.00.00,01,MEEG.04.05.02.00.00.01,MEEG.04.05.02.00.00.01,Table 4: Statistical analysis,Connectivity,"Software and version, and analysis platform",,,,,,,,,,,,
MEEG.,04,05,03,00,00,MEEG.04.05.03.00.00,01,MEEG.04.05.03.00.00.01,MEEG.04.05.03.00.00.01,Table 4: Statistical analysis,Connectivity,"Domain, type of connectivity and measure(s) used",,,,,,,,,,,,
MEEG.,04,05,04,00,00,MEEG.04.05.04.00.00,01,MEEG.04.05.04.00.00.01,MEEG.04.05.04.00.00.01,Table 4: Statistical analysis,Connectivity,Definitions of nodes/regions of interest,,,,,,,,,,,,
MEEG.,04,06,01,00,00,MEEG.04.06.01.00.00,01,MEEG.04.06.01.00.00.01,MEEG.04.06.01.00.00.01,Table 4: Statistical analysis,DCM,Specify type of neuronal model,,,,,,,,,,,,
MEEG.,04,06,02,00,00,MEEG.04.06.02.00.00,01,MEEG.04.06.02.00.00.01,MEEG.04.06.02.00.00.01,Table 4: Statistical analysis,DCM,Ensure fit of model to data before comparing different models,,,,,,,,,,,,
MEEG.,04,06,03,00,00,MEEG.04.06.03.00.00,01,MEEG.04.06.03.00.00.01,MEEG.04.06.03.00.00.01,Table 4: Statistical analysis,DCM,"Describe modulatory effects, confounds and mitigating procedures",,,,,,,,,,,,
MEEG.,04,06,04,00,00,MEEG.04.06.04.00.00,01,MEEG.04.06.04.00.00.01,MEEG.04.06.04.00.00.01,Table 4: Statistical analysis,DCM,Define all connectivity architectures tested and connectivity matrices present and modulated,,,,,,,,,,,,
MEEG.,04,06,05,00,00,MEEG.04.06.05.00.00,01,MEEG.04.06.05.00.00.01,MEEG.04.06.05.00.00.01,Table 4: Statistical analysis,DCM,Describe statistics used for model/family inference (Random vs. Fixed effects) and parameter inference (Frequentist vs. Bayesian),,,,,,,,,,,,
MEEG.,05,01,01,00,00,MEEG.05.01.01.00.00,01,MEEG.05.01.01.00.00.01,MEEG.05.01.01.00.00.01,Table 5. Reporting,Nomenclature,Use IFCN-sanctioned nomenclature?,,,,,,,,,,,,
MEEG.,05,02,01,01,00,MEEG.05.02.01.01.00,01,MEEG.05.02.01.01.00.01,MEEG.05.02.01.01.00.01,Table 5. Reporting,Time and frequency windows,Note time windows (if applicable),**Note basis for selection,,,,,,,,,,,
MEEG.,05,02,02,01,00,MEEG.05.02.02.01.00,01,MEEG.05.02.02.01.00.01,MEEG.05.02.02.01.00.01,Table 5. Reporting,Time and frequency windows,Note frequency windows (if applicable),**Note basis for selection,,,,,,,,,,,
MEEG.,05,03,01,01,00,MEEG.05.03.01.01.00,01,MEEG.05.03.01.01.00.01,MEEG.05.03.01.01.00.01,Table 5. Reporting,Statistical results,Report statistical values of analyses performed,Minima/maxima of R-squared,,,,,,,,,,,
MEEG.,05,03,01,02,00,MEEG.05.03.01.02.00,01,MEEG.05.03.01.02.00.01,MEEG.05.03.01.02.00.01,Table 5. Reporting,Statistical results,Report statistical values of analyses performed,Minima/maxima of z/t/F values,,,,,,,,,,,
MEEG.,05,03,01,03,00,MEEG.05.03.01.03.00,01,MEEG.05.03.01.03.00.01,MEEG.05.03.01.03.00.01,Table 5. Reporting,Statistical results,Report statistical values of analyses performed,**Other? This seems too broad a category to strictly narrow down.,,,,,,,,,,,
MEEG.,05,03,02,00,00,MEEG.05.03.02.00.00,01,MEEG.05.03.02.00.00.01,MEEG.05.03.02.00.00.01,Table 5. Reporting,Statistical results,Report raw effects of interest,,,,,,,,,,,,
MEEG.,05,03,03,00,00,MEEG.05.03.03.00.00,01,MEEG.05.03.03.00.00.01,MEEG.05.03.03.00.00.01,Table 5. Reporting,Statistical results,Report standardized effect sizes,,,,,,,,,,,,
MEEG.,05,04,01,01,00,MEEG.05.04.01.01.00,01,MEEG.05.04.01.01.00.01,MEEG.05.04.01.01.00.01,Table 5. Reporting,Figures,Waveforms or spectra of each condition (& any differences of interest),Indicate clearly whether individual or group data,,,,,,,,,,,
MEEG.,05,04,02,00,00,MEEG.05.04.02.00.00,01,MEEG.05.04.02.00.00.01,MEEG.05.04.02.00.00.01,Table 5. Reporting,Figures,Display measures of error for waveforms (confidence intervals/standard devation),,,,,,,,,,,,
MEEG.,05,04,03,00,00,MEEG.05.04.03.00.00,01,MEEG.05.04.03.00.00.01,MEEG.05.04.03.00.00.01,Table 5. Reporting,Figures,Topographic representations of waveforms/spectra,,,,,,,,,,,,
MEEG.,05,04,04,01,00,MEEG.05.04.04.01.00,01,MEEG.05.04.04.01.00.01,MEEG.05.04.04.01.00.01,Table 5. Reporting,Figures,Figures properly formatted/labelled?,All axes labelled?,,,,,,,,,,,
MEEG.,05,04,04,02,00,MEEG.05.04.04.02.00,01,MEEG.05.04.04.02.00.01,MEEG.05.04.04.02.00.01,Table 5. Reporting,Figures,Figures properly formatted/labelled?,Units reported?,,,,,,,,,,,
MEEG.,05,04,04,03,00,MEEG.05.04.04.03.00,01,MEEG.05.04.04.03.00.01,MEEG.05.04.04.03.00.01,Table 5. Reporting,Figures,Figures properly formatted/labelled?,Calibration bars displayed with units?,,,,,,,,,,,
MEEG.,05,04,05,00,00,MEEG.05.04.05.00.00,01,MEEG.05.04.05.00.00.01,MEEG.05.04.05.00.00.01,Table 5. Reporting,Figures,"Mass-univariate and multivariate
analysis should show the full space of
statistical results along with significant
results",,,,,,,,,,,,
MEEG.,05,05,01,01,00,MEEG.05.05.01.01.00,01,MEEG.05.05.01.01.00.01,MEEG.05.05.01.01.00.01,Table 5. Reporting,Spatial analyses,Show all source results,Time courses,,,,,,,,,,,
MEEG.,05,05,01,02,00,MEEG.05.05.01.02.00,01,MEEG.05.05.01.02.00.01,MEEG.05.05.01.02.00.01,Table 5. Reporting,Spatial analyses,Show all source results,Full non-thresholded maps (distributed models only),,,,,,,,,,,
MEEG.,05,05,02,01,00,MEEG.05.05.02.01.00,01,MEEG.05.05.02.01.00.01,MEEG.05.05.02.01.00.01,Table 5. Reporting,Spatial analyses,Topography,"Include information
related to the spatial layout of sensors",,,,,,,,,,,
MEEG.,05,05,03,01,00,MEEG.05.05.03.01.00,01,MEEG.05.05.03.01.00.01,MEEG.05.05.03.01.00.01,Table 5. Reporting,Spatial analyses,Tables,Contrast/effect tested,,,,,,,,,,,
MEEG.,05,05,03,02,00,MEEG.05.05.03.02.00,01,MEEG.05.05.03.02.00.01,MEEG.05.05.03.02.00.01,Table 5. Reporting,Spatial analyses,Tables,Anatomical regions,,,,,,,,,,,
MEEG.,05,05,03,03,00,MEEG.05.05.03.03.00,01,MEEG.05.05.03.03.00.01,MEEG.05.05.03.03.00.01,Table 5. Reporting,Spatial analyses,Tables,"x, y, z coordinates",,,,,,,,,,,
MEEG.,05,05,03,04,00,MEEG.05.05.03.04.00,01,MEEG.05.05.03.04.00.01,MEEG.05.05.03.04.00.01,Table 5. Reporting,Spatial analyses,Tables,t/z/F statistic,,,,,,,,,,,
MEEG.,05,05,03,05,00,MEEG.05.05.03.05.00,01,MEEG.05.05.03.05.00.01,MEEG.05.05.03.05.00.01,Table 5. Reporting,Spatial analyses,Tables,p-value/Bayes factor,,,,,,,,,,,
MEEG.,05,06,01,00,00,MEEG.05.06.01.00.00,01,MEEG.05.06.01.00.00.01,MEEG.05.06.01.00.00.01,Table 5. Reporting,Connectivity analyses,Report type of data reduction and/or space selection performed,,,,,,,,,,,,
MEEG.,05,06,02,00,00,MEEG.05.06.02.00.00,01,MEEG.05.06.02.00.00.01,MEEG.05.06.02.00.00.01,Table 5. Reporting,Connectivity analyses,Report all metrics tested and associated values,,,,,,,,,,,,
MEEG.,05,06,03,00,00,MEEG.05.06.03.00.00,01,MEEG.05.06.03.00.00.01,MEEG.05.06.03.00.00.01,Table 5. Reporting,Connectivity analyses,"If using a null model for statistical
comparison, report how this was
generated",,,,,,,,,,,,
MEEG.,05,06,04,00,00,MEEG.05.06.04.00.00,01,MEEG.05.06.04.00.00.01,MEEG.05.06.04.00.00.01,Table 5. Reporting,Connectivity analyses,"For DCM, report the distribution of
probability (expected or/and
exceedance) over models considered
and the statistics on the connectivity
parameters",,,,,,,,,,,,
MEEG.,06,01,01,00,00,MEEG.06.01.01.00.00,01,MEEG.06.01.01.00.00.01,MEEG.06.01.01.00.00.01,Suggestions from main text of MEEG Cobidas,Additional suggestions from text,Recording site of EEG results in sensor space,,,,,,,,,,,,
